direction,stop,scheduled_time
to_broadway,WC BART,06:52
to_broadway,WC BART,07:12
to_broadway,WC BART,07:32
to_broadway,WC BART,07:52
to_broadway,WC BART,08:12
to_broadway,WC BART,08:32
to_broadway,WC BART,08:52
to_broadway,WC BART,09:12
to_broadway,WC BART,09:32
to_broadway,WC BART,09:52
to_broadway,WC BART,10:12
to_broadway,WC BART,10:32
to_broadway,WC BART,10:52
to_broadway,WC BART,11:12
to_broadway,WC BART,11:32
to_broadway,WC BART,11:52
to_broadway,WC BART,12:12
to_broadway,WC BART,12:32
to_broadway,WC BART,12:52
to_broadway,WC BART,13:12
to_broadway,WC BART,13:32
to_broadway,WC BART,13:52
to_broadway,WC BART,14:12
to_broadway,WC BART,14:32
to_broadway,WC BART,14:52
to_broadway,WC BART,15:12
to_broadway,WC BART,15:32
to_broadway,WC BART,15:52
to_broadway,WC BART,16:12
to_broadway,WC BART,16:32
to_broadway,WC BART,16:52
to_broadway,WC BART,17:12
to_broadway,WC BART,17:32
to_broadway,WC BART,17:52
to_broadway,WC BART,18:12
to_broadway,WC BART,18:32
to_broadway,WC BART,18:52
to_broadway,WC BART,19:12
to_broadway,WC BART,19:32
to_broadway,WC BART,19:52
to_broadway,WC BART,20:12
to_broadway,S Broadway,07:01
to_broadway,S Broadway,07:21
to_broadway,S Broadway,07:41
to_broadway,S Broadway,08:01
to_broadway,S Broadway,08:21
to_broadway,S Broadway,08:41
to_broadway,S Broadway,09:01
to_broadway,S Broadway,09:21
to_broadway,S Broadway,09:41
to_broadway,S Broadway,10:01
to_broadway,S Broadway,10:21
to_broadway,S Broadway,10:41
to_broadway,S Broadway,11:01
to_broadway,S Broadway,11:21
to_broadway,S Broadway,11:41
to_broadway,S Broadway,12:01
to_broadway,S Broadway,12:21
to_broadway,S Broadway,12:41
to_broadway,S Broadway,13:01
to_broadway,S Broadway,13:21
to_broadway,S Broadway,13:41
to_broadway,S Broadway,14:01
to_broadway,S Broadway,14:21
to_broadway,S Broadway,14:41
to_broadway,S Broadway,15:01
to_broadway,S Broadway,15:21
to_broadway,S Broadway,15:41
to_broadway,S Broadway,16:01
to_broadway,S Broadway,16:21
to_broadway,S Broadway,16:41
to_broadway,S Broadway,17:01
to_broadway,S Broadway,17:21
to_broadway,S Broadway,17:41
to_broadway,S Broadway,18:01
to_broadway,S Broadway,18:21
to_broadway,S Broadway,18:41
to_broadway,S Broadway,19:01
to_broadway,S Broadway,19:21
to_broadway,S Broadway,19:41
to_broadway,S Broadway,20:01
to_broadway,S Broadway,20:21
to_bart,S Broadway,07:01
to_bart,S Broadway,07:21
to_bart,S Broadway,07:41
to_bart,S Broadway,08:01
to_bart,S Broadway,08:21
to_bart,S Broadway,08:41
to_bart,S Broadway,09:01
to_bart,S Broadway,09:21
to_bart,S Broadway,09:41
to_bart,S Broadway,10:01
to_bart,S Broadway,10:21
to_bart,S Broadway,10:41
to_bart,S Broadway,11:01
to_bart,S Broadway,11:21
to_bart,S Broadway,11:41
to_bart,S Broadway,12:01
to_bart,S Broadway,12:21
to_bart,S Broadway,12:41
to_bart,S Broadway,13:01
to_bart,S Broadway,13:21
to_bart,S Broadway,13:41
to_bart,S Broadway,14:01
to_bart,S Broadway,14:21
to_bart,S Broadway,14:41
to_bart,S Broadway,15:01
to_bart,S Broadway,15:21
to_bart,S Broadway,15:41
to_bart,S Broadway,16:01
to_bart,S Broadway,16:21
to_bart,S Broadway,16:41
to_bart,S Broadway,17:01
to_bart,S Broadway,17:21
to_bart,S Broadway,17:41
to_bart,S Broadway,18:01
to_bart,S Broadway,18:21
to_bart,S Broadway,18:41
to_bart,S Broadway,19:01
to_bart,S Broadway,19:21
to_bart,S Broadway,19:41
to_bart,S Broadway,20:01
to_bart,S Broadway,20:21
to_bart,WC BART,07:15
to_bart,WC BART,07:35
to_bart,WC BART,07:55
to_bart,WC BART,08:15
to_bart,WC BART,08:35
to_bart,WC BART,08:55
to_bart,WC BART,09:15
to_bart,WC BART,09:35
to_bart,WC BART,09:55
to_bart,WC BART,10:15
to_bart,WC BART,10:35
to_bart,WC BART,10:55
to_bart,WC BART,11:15
to_bart,WC BART,11:35
to_bart,WC BART,11:55
to_bart,WC BART,12:15
to_bart,WC BART,12:35
to_bart,WC BART,12:55
to_bart,WC BART,13:15
to_bart,WC BART,13:35
to_bart,WC BART,13:55
to_bart,WC BART,14:15
to_bart,WC BART,14:35
to_bart,WC BART,14:55
to_bart,WC BART,15:15
to_bart,WC BART,15:35
to_bart,WC BART,15:55
to_bart,WC BART,16:15
to_bart,WC BART,16:35
to_bart,WC BART,16:55
to_bart,WC BART,17:15
to_bart,WC BART,17:35
to_bart,WC BART,17:55
to_bart,WC BART,18:15
to_bart,WC BART,18:35
to_bart,WC BART,18:55
to_bart,WC BART,19:15
to_bart,WC BART,19:35
to_bart,WC BART,19:55
to_bart,WC BART,20:15
to_bart,WC BART,20:35
