direction,stop,scheduled_departure
to_creekside,WC BART,05:53
to_creekside,WC BART,06:38
to_creekside,WC BART,07:23
to_creekside,WC BART,08:08
to_creekside,WC BART,08:53
to_creekside,WC BART,09:38
to_creekside,WC BART,10:23
to_creekside,WC BART,11:08
to_creekside,WC BART,11:53
to_creekside,WC BART,12:38
to_creekside,WC BART,13:23
to_creekside,WC BART,14:08
to_creekside,WC BART,14:53
to_creekside,WC BART,15:38
to_creekside,WC BART,16:23
to_creekside,WC BART,17:08
to_creekside,WC BART,17:53
to_creekside,WC BART,18:38
to_creekside,WC BART,19:23
to_creekside,Creekside,06:08
to_creekside,Creekside,06:53
to_creekside,Creekside,07:38
to_creekside,Creekside,08:23
to_creekside,Creekside,09:08
to_creekside,Creekside,09:53
to_creekside,Creekside,10:38
to_creekside,Creekside,11:23
to_creekside,Creekside,12:08
to_creekside,Creekside,12:53
to_creekside,Creekside,13:38
to_creekside,Creekside,14:23
to_creekside,Creekside,15:08
to_creekside,Creekside,15:53
to_creekside,Creekside,16:38
to_creekside,Creekside,17:23
to_creekside,Creekside,18:08
to_creekside,Creekside,18:53
to_creekside,Creekside,19:38
to_bart,Creekside,06:08
to_bart,Creekside,06:53
to_bart,Creekside,07:38
to_bart,Creekside,08:23
to_bart,Creekside,09:08
to_bart,Creekside,09:53
to_bart,Creekside,10:38
to_bart,Creekside,11:23
to_bart,Creekside,12:08
to_bart,Creekside,12:53
to_bart,Creekside,13:38
to_bart,Creekside,14:23
to_bart,Creekside,15:08
to_bart,Creekside,15:53
to_bart,Creekside,16:38
to_bart,Creekside,17:23
to_bart,Creekside,18:08
to_bart,Creekside,18:53
to_bart,Creekside,19:38
to_bart,WC BART,06:23
to_bart,WC BART,07:08
to_bart,WC BART,07:53
to_bart,WC BART,08:38
to_bart,WC BART,09:23
to_bart,WC BART,10:08
to_bart,WC BART,10:53
to_bart,WC BART,11:38
to_bart,WC BART,12:23
to_bart,WC BART,13:08
to_bart,WC BART,13:53
to_bart,WC BART,14:38
to_bart,WC BART,15:23
to_bart,WC BART,16:08
to_bart,WC BART,16:53
to_bart,WC BART,17:38
to_bart,WC BART,18:23
to_bart,WC BART,19:08
to_bart,WC BART,19:53
